,x,y
0,-2.0339663,-7.878528
1,7.2492094,1.1435841
2,3.5007951,-20.551952
3,15.556661,2.826684
4,19.025951,0.48123398
5,23.678356,6.4653115
6,10.710691,-9.821023
7,-31.925568,10.281152
8,-31.018402,11.736564
9,-11.965878,-7.058495
10,19.02956,-6.5074534
11,17.462803,5.6420984
12,15.038962,3.850215
13,-27.813675,10.625472
14,-8.659683,-13.172555
15,-29.546888,14.318903
16,25.63641,6.171224
17,-29.527435,9.609631
18,-30.493103,12.974827
19,-0.48381048,-7.5668535
20,-4.3577094,-10.715817
21,-31.0924,13.574324
22,16.260603,-3.227127
23,14.587398,-2.7345462
24,-3.075409,-17.235455
25,-6.7937565,-10.2738
26,24.004175,3.2653954
27,-27.653008,11.133966
28,22.96818,4.929141
29,-10.630787,-7.168118
30,13.951832,-4.4478397
31,17.946444,0.96441275
32,-29.33604,12.881648
33,2.495367,-6.8512096
34,4.5839667,-4.534912
35,19.819046,-1.7882873
36,-6.2625933,-10.322
37,9.275201,-0.7834859
38,-28.867487,11.468659
39,-30.539284,13.481654
40,13.6075,3.875132
41,-29.102968,12.586598
42,-7.3399324,-9.504759
43,-29.49939,12.288664
44,-28.978085,10.411847
45,-30.100687,12.988568
46,-29.592112,13.917328
47,9.370546,-8.659882
48,17.11257,-6.74019
49,-2.4807715,-18.283144
50,-29.895716,12.650634
51,18.629574,-7.1828938
52,4.783837,-13.486479
53,2.5114253,-2.5366702
54,-29.547903,14.58956
55,-31.230408,10.600176
56,-29.562468,10.294864
57,4.4494543,-19.862482
58,-31.147099,11.015856
59,-2.084284,-19.463821
60,4.3564115,-21.682335
61,2.8235872,-22.111122
62,10.992914,-5.309528
63,-30.126072,11.218823
64,10.918513,-11.380481
65,9.19247,-5.067026
66,-29.606096,11.782766
67,-8.102931,-8.979624
68,21.46157,3.1835082
69,21.241146,4.8840427
70,13.962033,1.6505185
71,-7.26334,-11.124108
72,-3.0063682,-18.251371
73,2.304818,-5.0777345
74,-28.462748,11.764234
75,-29.36619,13.130808
76,-8.845745,-8.539359
77,-31.308094,12.107884
78,-28.430878,10.937072
79,-28.102608,11.48391
80,10.526179,-10.7870245
81,24.724155,6.2504296
82,-28.999313,10.910564
83,23.474075,6.4910817
84,21.481564,3.8403451
85,-30.155695,10.230545
86,-28.303879,10.178459
87,-3.429425,-18.593397
88,-29.497896,11.058176
89,4.0489817,-13.96641
90,4.065567,-14.900581
91,4.8345714,-18.512972
92,5.05862,-20.924461
93,1.9619596,-21.336037
94,-30.178362,13.491825
95,9.84772,-8.015299
96,-6.4754353,-10.010748
97,5.6400557,-14.704686
98,-31.3312,14.186992
99,3.7756257,-5.65449
100,-3.110346,-15.885355
101,-31.10084,13.320663
102,-29.282333,15.613184
103,-3.0755177,-9.379529
104,7.1651015,1.1925986
105,18.783298,0.28078467
106,9.705911,-9.105722
107,-28.722473,12.043177
108,-30.445099,10.861558
109,-29.866552,10.812032
110,-32.363007,12.7878275
111,11.214809,0.10351084
112,-32.07402,11.143
113,-28.8852,9.791334
114,-2.514301,-10.44445
115,-30.230045,14.430037
116,11.7131,1.8315107
117,-32.058514,10.686153
118,-30.707226,10.368762
119,2.2106109,-3.361751
120,19.467505,-5.766947
121,-0.5153698,-17.859999
122,-30.155695,9.660637
123,-0.66135377,-9.985439
124,-5.1055574,-10.132208
125,-29.556889,13.696737
126,-8.802667,-12.747588
127,19.174639,-6.251755
128,7.4873714,-11.725089
129,-2.6787226,-16.30042
130,14.602718,-1.7484434
131,5.1963644,-18.911942
132,-31.593597,13.616471
133,14.25861,-4.4788036
134,-31.218922,12.762158
135,-31.573689,12.743226
136,21.230629,4.64183
137,13.00514,1.341345
138,-30.815369,8.954934
139,-28.900467,12.32006
140,20.079472,-0.9154703
141,-31.451733,11.340152
142,-30.72194,12.114172
143,-1.6833295,-18.49407
144,-31.612555,11.896106
145,20.659979,-2.7235084
146,-30.91985,9.851107
147,6.085571,-10.941562
148,-5.0450144,-15.359013
149,3.4480157,-14.778742
150,-29.99637,11.749341
151,-30.879465,12.692518
152,-30.811153,13.993603
153,-30.414001,11.722706
154,14.270909,-3.92757
155,4.6395855,-2.8753831
156,-32.109695,11.4800005
157,8.012197,-11.503869
158,-30.27648,14.025756
159,-30.08238,12.299493
160,-30.71774,11.318876
161,16.610668,2.0026324
162,-32.941532,13.777835
163,-31.319696,15.809994
164,-32.627785,14.803823
165,-3.5106018,-16.53112
166,-32.045277,15.429698
167,-31.212053,14.836967
168,16.510944,-2.9674451
169,24.38635,6.1548758
170,4.509047,-19.899227
171,-32.114616,14.228899
172,3.454655,-15.042973
173,-29.919203,15.173034
174,-9.741889,-8.447835
175,3.0827603,-21.30182
176,10.161998,-7.7117634
177,0.8169377,-6.2005258
178,24.449081,4.0066495
179,-30.439745,16.01661
180,-1.6490879,-10.12735
181,-7.729767,-6.4818015
182,3.729775,-13.956161
183,12.606192,-4.220593
184,19.299236,-5.754382
185,-2.0005682,-17.393764
186,8.1110115,-9.461625
187,17.434042,-6.9686093
188,3.9343665,-6.2702127
189,18.39212,5.3548546
190,-1.3092085,-9.794743
191,14.271005,-1.9034785
192,20.105661,-4.8844447
193,-33.06964,8.116402
194,17.199293,-7.215161
195,-32.538567,12.811566
196,18.951942,-6.965468
197,-0.91240275,-18.150066
198,-32.78338,13.358657
199,25.517494,5.0974355
200,13.285176,3.279437
201,24.986649,5.6770377
202,18.003918,-2.558843
203,17.899828,4.9037595
204,2.765733,-1.6508147
205,6.91062,-13.619722
206,2.877957,-20.929983
207,-2.8681238,-9.769487
208,2.964247,-4.0081835
209,15.2034025,1.3837222
210,-29.43876,13.407034
211,-29.407896,15.034351
212,10.541916,-7.699767
213,14.544737,-4.774085
214,-30.424507,14.928106
215,-4.6416025,-10.227959
216,23.187227,5.6514935
217,24.844519,4.945485
218,-3.214393,-9.22772
219,-29.69133,15.923178
220,15.528883,3.1023264
221,-2.4665344,-9.911304
222,7.4862275,1.481368
223,2.911542,-6.1577177
224,11.586466,-0.48401862
225,-31.933205,13.420059
226,-31.995697,14.960249
227,6.5087013,-7.71251
228,9.358916,-7.407607
229,10.747934,-7.328754
230,6.035161,-11.973192
231,-8.044187,-12.179556
232,-32.270042,11.989427
233,-11.958301,-7.1647325
234,10.906267,-0.21546343
235,-31.664612,14.391393
236,25.145355,6.0054345
237,0.7729858,-19.64034
238,-30.524284,15.4998255
239,-8.997817,-10.594158
240,26.007412,5.5248246
241,-32.925808,14.307737
242,13.298029,1.160583
243,-32.230587,13.700034
244,-31.786217,12.731784
245,-31.166464,15.302276
246,12.128637,1.8732476
247,-0.10235022,-17.841206
248,5.282288,-4.988075
249,23.718407,5.666252
250,-32.180756,12.1767
251,-26.883074,13.969717
252,-26.883074,13.969717
253,-26.883074,13.969717
254,-26.883074,13.969717
255,2.5662596,-4.8339067
256,0.71843445,-20.596395
257,3.402792,-4.753939
258,4.278813,-3.7225735
259,-26.883074,13.969717
260,-26.883074,13.969717
261,18.323404,0.81361747
262,-26.883074,13.969717
263,13.469836,1.9806925
264,17.11085,2.834445
265,15.2064495,5.758027
266,1.3506222,-19.757095
267,5.3637543,-11.558356
268,6.15701,-1.1919199
269,-4.5830774,-17.290323
270,-8.9608555,-12.49856
271,15.307672,-3.5482883
272,-26.883074,13.969717
273,-26.883074,13.969717
274,-26.883074,13.969717
275,-26.883074,13.969717
276,10.755675,-6.638689
277,-3.9651566,-14.574722
278,-26.883074,13.969717
279,21.068892,3.2266033
280,-26.883074,13.969717
281,-9.999211,-8.945286
282,-26.883074,13.969717
283,-26.883074,13.969717
284,3.3771815,-19.112474
285,-26.883074,13.969717
286,21.047867,3.3677442
287,9.068595,-7.9384475
288,0.56547403,-20.928705
289,12.877815,-2.4441624
290,4.023757,-5.3612485
291,18.529888,4.847219
292,18.583704,-1.7897819
293,10.183745,-8.865235
294,0.1929747,-6.6803
295,7.595039,-12.12385
296,4.720055,-20.085173
297,23.3421,3.326343
298,15.625972,-2.8835974
299,-26.883074,13.969717
300,10.282722,-8.207442
301,-26.883074,13.969717
302,9.70317,-1.3651884
303,6.101999,0.5768373
304,24.443867,4.0563736
305,4.037147,-18.851
306,-26.883074,13.969717
307,-26.883074,13.969717
308,2.8264759,-1.70763
309,-9.211033,-12.004617
310,-26.883074,13.969717
311,13.408747,1.837983
312,3.3643851,-20.12711
313,3.1134248,-21.628
314,-4.682894,-10.854346
315,0.7330925,-20.26062
316,17.189548,5.2878466
317,7.9301014,-1.0742657
318,2.174858,-5.134238
319,19.404257,-5.497793
320,-4.943777,-9.545635
321,-9.920717,-8.878179
322,-6.800781,-6.4151387
323,-26.883074,13.969717
324,6.173729,-1.246641
325,19.89963,-1.74229
326,-1.9180101,-17.021318
327,13.86065,-3.431562
328,-11.569082,-7.211073
329,2.7954009,-13.8647995
330,4.244541,-14.230283
331,14.682249,5.9185376
332,-26.883074,13.969717
333,-26.883074,13.969717
334,-1.8930287,-19.563751
335,-9.710595,-8.150869
336,-8.224742,-13.8020525
337,-3.562073,-8.9400215
338,-5.0033317,-9.356143
339,-2.042514,-8.708149
340,4.164847,-3.7497346
341,-26.883074,13.969717
342,5.1140404,-2.4994903
343,23.637276,3.161947
344,18.767332,-1.681879
345,-2.203911,-17.593931
346,9.293261,-0.73300314
347,-26.883074,13.969717
348,-6.3788066,-6.794077
349,-26.883074,13.969717
350,14.71771,-4.692484
351,10.709705,-7.8652105
352,20.61611,-1.1850525
353,10.187015,-7.315243
354,24.339687,5.8756614
355,2.465418,-2.9698496
356,11.014796,-0.85091066
357,5.863049,-11.220213
358,5.3780894,-21.53018
359,26.033459,5.7586207
360,18.0332,-2.012856
361,-26.883074,13.969717
362,19.610416,-2.4621234
363,21.998285,5.0844364
364,-3.7169511,-17.154076
365,2.5736864,-19.180628
366,16.282335,-2.472977
367,-8.507128,-9.309927
368,8.38635,-9.211916
369,-2.3107708,-10.418659
370,19.663553,4.082146
371,13.399352,-2.6251416
372,16.434149,-2.8495843
373,-26.883074,13.969717
374,-26.883074,13.969717
375,6.4884624,-12.032662
376,-7.9589252,-10.443318
377,-6.2927294,-6.6402464
378,11.243033,-0.4563243
379,-26.883074,13.969717
380,8.828316,-6.301017
381,18.057835,5.290742
382,4.4432225,-18.96114
383,2.7391655,-5.424845
384,2.4242806,-20.423769
385,-26.883074,13.969717
386,-26.883074,13.969717
387,-26.883074,13.969717
388,-26.883074,13.969717
389,11.382346,1.2885791
390,-26.883074,13.969717
391,-1.6705354,-19.041449
392,-0.42159593,-9.848455
393,15.130405,-4.0709977
394,8.985412,-6.9255652
395,-26.883074,13.969717
396,3.978832,-13.672435
397,7.102665,1.0821594
398,15.697982,-3.0589025
399,5.8978233,-1.0733124
400,3.315357,-12.817597
401,2.5918822,-15.155317
402,5.234406,-17.996773
403,-26.883074,13.969717
404,8.886416,-1.0819021
405,10.099448,-0.59729356
406,19.947107,-0.08100399
407,-26.883074,13.969717
408,1.918099,-21.01837
409,-1.4326552,-17.88106
410,2.8235872,-22.111124
411,2.606807,-6.973506
412,-8.533013,-11.537792
413,-26.883074,13.969717
414,10.6645775,-9.653467
415,25.271223,4.3752575
416,15.809935,5.707179
417,14.146577,-5.1089573
418,-26.883074,13.969717
419,-26.883074,13.969717
420,24.16349,3.7658572
421,-2.6505873,-18.953115
422,16.634134,4.207299
423,-26.883074,13.969717
424,-26.883074,13.969717
425,-26.883074,13.969717
426,-26.883074,13.969717
427,-4.7005463,-15.812583
428,3.659915,-13.337488
429,-26.883074,13.969717
430,-5.7490225,-9.462273
431,24.442448,4.0553794
432,-26.883074,13.969717
433,15.887894,2.619605
434,-3.8220634,-10.301038
435,-3.2018158,-15.18666
436,22.108719,4.4819856
437,-26.883074,13.969717
438,0.43514374,-19.676485
439,-1.4394059,-6.035647
440,-26.883074,13.969717
441,-2.1142879,-18.526672
442,-9.034499,-9.383932
443,-26.883074,13.969717
444,-0.052877713,-19.749008
445,12.01711,-6.8904786
446,-10.505528,-8.079773
447,4.645596,-21.247923
448,-9.124647,-10.650759
449,2.8758314,-6.2330217
450,-26.883074,13.969717
451,-3.0795465,-18.109478
452,0.4543916,-21.13813
453,16.305504,3.6408112
454,-9.41511,-10.040103
455,0.3602422,-20.28161
456,-4.054398,-19.17904
457,14.42138,-4.649651
458,-26.883074,13.969717
459,-26.883074,13.969717
460,-26.883074,13.969717
461,12.456932,2.6199625
462,1.1320162,-21.827684
463,-8.670398,-12.895786
464,-26.883074,13.969717
465,1.3887609,-21.402214
466,-26.883074,13.969717
467,0.7055884,-20.919298
468,-3.8053446,-17.960827
469,-4.987989,-15.46875
470,2.9741406,-20.781588
471,-3.8003545,-16.298134
472,-2.3926175,-19.61852
473,13.757963,-5.894851
474,-4.871966,-17.589813
475,14.57489,3.5190356
476,5.3521433,-2.366983
477,15.084587,0.12182934
478,-3.6874468,-18.154442
479,12.894408,-4.0804067
480,9.185188,-9.450986
481,3.28149,-13.875549
482,-6.5804996,-6.489641
483,14.310824,-2.6897242
484,19.63417,3.4866006
485,19.20272,-5.9750485
486,2.378041,-21.110703
487,2.6679552,-19.328606
488,11.124505,-9.205185
489,16.27034,3.8130624
490,-26.883074,13.969717
491,6.1414557,-11.931664
492,-5.428322,-10.338428
493,-26.883074,13.969717
494,3.3620596,-5.3238554
495,-26.883074,13.969717
496,-30.512632,12.419636
497,17.705393,6.1075897
498,-1.3297377,-6.8408656
499,18.379362,1.0377854
500,-8.719082,-9.4269705
501,-34.596237,11.574144
502,-4.4942484,-9.007448
503,16.072613,2.0107334
504,2.8207607,-6.897402
505,-1.520433,-7.3760457
506,14.036598,5.973799
507,5.942737,-12.0562525
508,6.3993,-12.844675
509,21.149324,-1.8496082
510,-34.596237,11.574144
511,-34.596237,11.574144
512,-34.596237,11.574144
513,-34.596237,11.574144
514,11.024849,-9.020573
515,19.382318,-5.1122336
516,3.373438,-6.2891655
517,-34.596237,11.574144
518,3.1678798,-3.2679431
519,-34.596237,11.574144
520,-34.596237,11.574144
521,-2.035256,-6.7083745
522,-34.596237,11.574144
523,25.637579,5.6945524
524,13.976558,2.0589776
525,11.098176,-1.6501795
526,18.482817,1.7662627
527,-8.827201,-9.729328
528,4.979234,-19.95399
529,13.567987,-3.9637058
530,10.273354,-9.256973
531,-9.91767,-8.97907
532,20.694624,5.222611
533,25.823734,6.0602217
534,24.663687,5.840514
535,25.92022,5.7270155
536,17.935633,1.5143965
537,2.8259242,-18.681198
538,9.634747,-8.662616
539,-1.7096347,-10.24627
540,23.152437,4.137219
541,-6.457423,-10.851533
542,-4.907637,-17.985449
543,14.701912,-1.8389404
544,24.433569,6.4986215
545,21.9649,3.865764
546,-3.197093,-10.075056
547,-34.596237,11.574144
548,-34.596237,11.574144
549,14.871611,1.8841257
550,6.388706,-0.5144015
551,6.1166487,0.3200478
552,5.648881,-14.77154
553,-8.401792,-12.862532
554,-34.596237,11.574144
555,4.0713263,-3.132595
556,17.450586,2.2262125
557,-34.596237,11.574144
558,-2.68007,-10.446719
559,-8.642088,-13.024205
560,11.102939,-0.67062
561,22.340315,3.8923829
562,13.916355,2.2317903
563,-34.596237,11.574144
564,-34.596237,11.574144
565,-34.596237,11.574144
566,3.345609,-7.5531483
567,20.055216,-1.8208855
568,10.009985,-0.94033074
569,14.565455,2.0087662
570,-34.596237,11.574144
571,-34.596237,11.574144
572,13.8721695,-3.6929662
573,-34.596237,11.574144
574,-9.239399,-7.193502
575,21.08617,-0.7243579
576,-34.596237,11.574144
577,-34.596237,11.574144
578,5.4015117,-10.943201
579,-7.2591043,-6.5657344
580,22.575005,4.4431047
581,-34.596237,11.574144
582,20.59042,-3.5769231
583,-3.916078,-9.927763
584,9.960359,-0.8027111
585,-1.455525,-9.266568
586,23.002968,3.6150496
587,-34.596237,11.574144
588,-34.596237,11.574144
589,10.360128,-0.7989493
590,-4.6796117,-10.205035
591,10.50008,-10.414775
592,-31.535065,9.956601
593,-5.9775796,-7.0887766
594,17.000494,-6.7274113
595,13.408602,1.3371209
596,18.544197,4.400372
597,22.571487,3.1321297
598,-29.339613,11.624844
599,-11.389701,-7.8946047
600,10.78011,-11.042543
601,21.00118,-2.1766732
602,-30.770994,14.513804
603,-8.364895,-11.371369
604,-7.499074,-9.131016
605,15.145252,5.824866
606,4.158168,-18.701258
607,2.9381835,-6.356595
